"company_name","twitter_url"
"Intel","https://www.twitter.com/intel"
"Toyota Motor Corporation","https://www.twitter.com/toyota"
"Cisco","https://www.twitter.com/cisco"
"NHK World","https://www.twitter.com/nhk_pr"
"Clean Harbors","https://www.twitter.com/cleanharbors_hr"
"Stericycle","https://www.twitter.com/stericycle_inc"
"Office Depot","https://www.twitter.com/officedepot"
"MEDNAX","https://www.twitter.com/mednax"
"Dick's Sporting Goods","https://www.twitter.com/dicks"
"Ciena","https://www.twitter.com/ciena"
"Intelligroup","https://www.twitter.com/nttdataamericas"
"Data Critical Corporation","https://www.twitter.com/gehealthcare"
"eBay","https://www.twitter.com/ebay"
"Oridion","https://www.twitter.com/medtronic"
"yahoo","https://www.twitter.com/yahoo"
"Finisar","https://www.twitter.com/finisar"
"Adaptive Media","https://www.twitter.com/pitneybowes"
"Fatbrain.com","https://www.twitter.com/bnbuzz"
"AristaSoft Corporation","https://www.twitter.com/bw"
"Staples","https://www.twitter.com/staples"
"oracle","https://www.twitter.com/oracle"
"BlueGill Technologies","https://www.twitter.com/fiserv"
"Niku","https://www.twitter.com/cainc"
"ConnecTech","https://www.twitter.com/att"
"FundsXpress","https://www.twitter.com/firstdata"
"Half.com","https://www.twitter.com/half_com"
"MarketSwitch","https://www.twitter.com/experianmkt"
"Health Information Institute","https://www.twitter.com/blackrock"
"Toys ""R"" Us","https://www.twitter.com/toysrus"
"ThePlanet","https://www.twitter.com/softlayer"
"Star One","https://www.twitter.com/generalelectric"
"Open Solutions","https://www.twitter.com/opensolutionscc"
"LexisNexis","https://www.twitter.com/lexisnexis"
"WebEx","https://www.twitter.com/webex"
"Kurant","https://www.twitter.com/magento"
"MobileStar Network","https://www.twitter.com/tmobile"
"DSM","https://www.twitter.com/dsm"
"Ironside Technologies","https://www.twitter.com/infor"
"enews.com","https://www.twitter.com/nookbn"
"Xigo","https://www.twitter.com/dimensiondata"
"RangeStar Wireless","https://www.twitter.com/teconnectivity"
"Buildscape.Com","https://www.twitter.com/dowchemical"
"broadcom","https://www.twitter.com/broadcom"
"Firstsource","https://www.twitter.com/firstsource"
"Musicmatch","https://www.twitter.com/yahoomusic"
"DeskTalk Systems","https://www.twitter.com/hp"
"Google","https://www.twitter.com/google"
"Digital Island","https://www.twitter.com/centurylink"
"Expedia","https://www.twitter.com/expedia"
"ZeroChaos","https://www.twitter.com/zerochaos"
"Corio","https://www.twitter.com/ibm"
"eRoom Technology","https://www.twitter.com/emcsupport"
"PetSmart","https://www.twitter.com/petsmart"
"Exterprise","https://www.twitter.com/enterprise"
"IBM","https://www.twitter.com/ibm"
"PayPal","https://www.twitter.com/paypal"
"NewsPage","https://www.twitter.com/accenture"
"Epinions","https://www.twitter.com/epinions"
"WeServeHomes.com","https://www.twitter.com/servicemaster"
"Atheros Communications","https://www.twitter.com/qualcommatheros"
"Tencent Holdings","https://www.twitter.com/xuanwulab"
"Lawson Software","https://www.twitter.com/apaclawson"
"Skire","https://www.twitter.com/skire"
"Connected Corporation","https://www.twitter.com/hpautonomy"
"Amazon","https://www.twitter.com/amazon"
"CoreLogic","https://www.twitter.com/corelogicinc"
"DWL","https://www.twitter.com/ibm"
"Orbiscom","https://www.twitter.com/mastercardnews"
"NetScreen Technologies","https://www.twitter.com/junipernetworks"
"Employease","https://www.twitter.com/adp"
"Insurance Noodle","https://www.twitter.com/insurancenoodle"
"Alaric Systems","https://www.twitter.com/alaricsystems"
"Anago","https://www.twitter.com/halyardhealth"
"Riptech","https://www.twitter.com/symantec"
"Terahertz Photonics","https://www.twitter.com/uniofoxford"
"Avaya","https://www.twitter.com/avaya"
"Quanta Services","https://www.twitter.com/quantaservices"
"Acosta Sales & Marketing","https://www.twitter.com/acostasales"
"Flextronics International","https://www.twitter.com/flextronics"
"microsoft","https://www.twitter.com/microsoft"
"Responsys","https://www.twitter.com/responsys"
"WB","https://www.twitter.com/warnerbrosent"
"NXP","https://www.twitter.com/nxp"
"GCA Services Group","https://www.twitter.com/gcaservices"
